Date,Open,High,Low,Close,Volume,Adj Close
2016-05-18,94.160004,95.209999,93.889999,94.559998,42062400,94.050506
2016-05-17,94.550003,94.699997,93.010002,93.489998,46916900,92.986272
2016-05-16,92.389999,94.389999,91.650002,93.879997,61259800,93.37417
2016-05-13,90.00,91.669998,90.00,90.519997,44392800,90.032273
2016-05-12,92.720001,92.779999,89.470001,90.339996,76314700,89.853242
2016-05-11,93.480003,93.57,92.459999,92.510002,28719100,92.011556
2016-05-10,93.330002,93.57,92.110001,93.419998,33686800,92.916649
2016-05-09,93.00,93.769997,92.589996,92.790001,32936400,92.290046
2016-05-06,93.370003,93.449997,91.849998,92.720001,43699900,92.220424
2016-05-05,94.00,94.07,92.68,93.239998,35890500,92.737619
2016-05-04,95.199997,95.900002,93.82,94.190002,41025500,93.115575
2016-05-03,94.199997,95.739998,93.68,95.18,56831300,94.09428
2016-05-02,93.970001,94.080002,92.400002,93.639999,48160100,92.571846
2016-04-29,93.989998,94.720001,92.510002,93.739998,68531500,92.670704
2016-04-28,97.610001,97.879997,94.25,94.830002,82242700,93.748274
2016-04-27,96.00,98.709999,95.68,97.82,114602100,96.704165
2016-04-26,103.910004,105.300003,103.910004,104.349998,56016200,103.159676
2016-04-25,105.00,105.650002,104.510002,105.080002,28031600,103.881352
2016-04-22,105.010002,106.480003,104.620003,105.68,33683100,104.474507
2016-04-21,106.93,106.93,105.519997,105.970001,31552500,104.7612
2016-04-20,106.639999,108.089996,106.059998,107.129997,30611000,105.907963
2016-04-19,107.879997,108.00,106.230003,106.910004,32384900,105.690479
2016-04-18,108.889999,108.949997,106.940002,107.480003,60821500,106.253977
2016-04-15,112.110001,112.300003,109.730003,109.849998,46939000,108.596938
2016-04-14,111.620003,112.389999,111.330002,112.099998,25473900,110.821272
2016-04-13,110.800003,112.339996,110.800003,112.040001,33257300,110.761959
2016-04-12,109.339996,110.50,108.660004,110.440002,27232300,109.180211
2016-04-11,108.970001,110.610001,108.830002,109.019997,29407500,107.776404
2016-04-08,108.910004,109.769997,108.169998,108.660004,23581700,107.420517
2016-04-07,109.949997,110.419998,108.120003,108.540001,31801900,107.301883
2016-04-06,110.230003,110.980003,109.199997,110.959999,26404100,109.694276
2016-04-05,109.510002,110.730003,109.419998,109.809998,26578700,108.557393
2016-04-04,110.419998,112.190002,110.269997,111.120003,37356200,109.852455
